,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsArisingFromDifferenceBetweenPreviousAmortisedCostAndFairValueOfFinancialAssetsReclassifiedOutOfAmortisedCostIntoFairValueThroughProfitOrLossMeasurementCategory,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfIntangibleAssets,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,dart_LossesOnDisposalOfFairValueFinancialAsset,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WarrantyExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods
[031330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,044,910,605",,,,,"5,924,025,648","3,518,087,811",,,,,,,,,,,,,,,,,,,,,"4,098,205,218",,,,,,,,,,,,,,,,,,,,,,,,93,,,"314,749,423,163",93,,,,,"1,055,335,782","21,056,390","14,143,115,823","2,191,980,172",,,,"9,224,588,878","11,416,569,050",,,"328,892,538,986",,,,,
[060540],0,,"1,996,155",,"85,742,563","4,940,332",,,,"1,510,379,142",,,"71,625,703",,"359,486,407","123,863,100","235,623,307",,"1,438,753,439","17,043,767","872,400",,,"17,784,671",,"40,611,270",,,"5,335,985",,,,,,,,,,,"57,217,867","185,989,465",,,"19,905,805",,,,,"19,357,376","2,729,199","45,709,770",,,,,,,,,,0,0,,,,"1,090,500",,,"1,039,710","180,025",,,"1,014,872,100","182,132,415",,,,"1,039,710","180,025",,,"10,533,449","1,417,616","32,200,000","22,728",,,,"259,227,410",,"167,518,846","344,484,482",,"2,764,416,229",,"149,981,010",,"3,528,094","10,750,180","650,909,318","1,844,854","8,837,781","17,355,020","7,044,272","32,449,780",,,,,,,,,,,,,,,,,,,40,,,"1,869,865,549",40,,,,,"3,819,699","309,695,307","1,665,781,418","267,775,567",,,,"1,053,831,826","1,321,607,393",,,"3,535,646,967",,,"3,023,643,639",,"512,003,328"
[056190],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,513,712,784",,,,,"5,163,516,675","5,517,604,773",,,,,,,,,,,,,,,,,,,,,"16,171,731,109",,,,,,,,,,,,,,,,,,,,,,,,"1,258",,,"117,867,483,949","1,258",,,,,"13,486,883","16,256,781,566","50,685,443,893","8,259,813,071",,,,"42,143,106,298","50,402,919,369",,,"168,552,927,842",,,,,
[080000],,,,"232,363,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"305,762,996",,,,,,,,,,,"220,336,587",,,,,,,,,,,,,,,,,"1,300,771,186",,,,,"764,420,337",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,508,089,819",,,,,,,,,,,,,"-732,138,471",,,,,,,,,,"974,954,997",32,,,"8,453,796,385",32,,,,,,"510,577,861","3,272,510,156","166,896,009",,,,"1,108,102,189","1,274,998,198",,,"11,726,306,541",,,,,
[005850],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,058,792,879",,,,,"2,081,668,997","772,821,873",,,,,,,,,,,,,,,,,,,,,"14,642,362,205",,,,,,,,,,,,,,,,,,,,,,,,285,,,"165,341,124,828",,,,,,"4,093,882","11,841,959,308","12,583,569,326","1,439,312,317",,,,"9,648,607,354","11,087,919,671",,,"177,924,694,154",,,,,
[012750],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,086,022,351",,,,,"3,839,784,204","3,696,099,293",,,,,,,,,,,,,,,,,,,,,"86,850,725,856",,,,,,,,,,,,,,,,,,,,,,,,"1,064",,,"354,212,363,716","1,064",,,,,"218,146,121","1,580,383,987","131,936,748,207","10,604,125,498",,,,"35,987,819,630","46,591,945,128",,,"486,149,111,923",,,,,
[123700],,,"41,017,910","9,584,811","290,758,980","11,067,561",,,,,,,,,"14,654,936,773","2,606,477,285","12,048,459,488",,,"54,254,351",,"2,378,700,000","2,000,000","68,962,184",,"12,637,448",,"188,560,803","92,900,378","576,823,912",,"166,020,387","629,044,007",,0,,,,"86,027,921",,,,,,,,,,"11,328,498","714,108","122,631,536",,"5,700,000","45,055,903","77,368,233",,,"17,900,911",,"6,276,274",,,,,,0,,"8,080,000","416,396,703","69,050,455",,,"-2,579,803,099","602,011,108",,,,"4,258,712,930","217,651,776","73,132,260",,"175,060,323","11,431,405","25,500,000","1,500,000",,,,,,"3,089,650,456","11,706,481,598",,,,"892,563,033","22,824,050","6,905,839","59,815,638","2,720,998,380","12,435,423","41,530,001",,"7,136,376",,,,,,,,,,,,,,,,,,,,86,86,,"14,654,936,773",86,86,,,,"714,108","122,631,536","141,195,281","237,625,516",,,,"1,345,549,967","1,583,175,483",,,"14,796,132,054",,,,,"14,796,132,054"
[025530],,,"181,277",,"71,557,514","1,784,577",,,,,,,,,,,,,,"56,664,902",,"5,712,174",,"11,751,130",,0,,,"6,000",,"30,222,299","3,273,882",,,,,,,,,,,,,,,,,"7,362,383","78,115,068","229,789,172",,,,,,0,,,,,,,,,,,,"159,318","1,248",,,"1,323,139,499",,,,,"39,367,673","1,248",,,"38,061,105","1,460,500","9,780,000",0,,"180,493,715",,"262,661,428",,,,,,,"220,631,990",,"1,317,018","3,478,731","431,659,652",,"1,373,000","3,083,023","3,166,502",,,,,,,,,,,,,,,,,,"1,311,644,008",,108,108,,0,108,108,,,,"78,115,068","229,789,172","1,754,799,151","57,100,576",,,,"1,457,079,452","1,514,180,028",,,"1,754,799,151",,,"1,754,799,151",,
[069510],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,214,037,382",,,,,"2,492,646,655","763,689,765",,,,,,,,,,,,,,,,,,,,,"9,163,089,414",,,,,,,,,,,,,,,,,,,,,,,,315,,,"38,723,777,860",,,,,,"3,657,574","547,751,325","10,377,126,796","836,690,325",,,,"2,650,397,698","3,487,088,023",,,"49,100,904,656",,,,,
[050760],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,469,275,500",,,,,"259,185,013","221,669,079",,,,,,,,,,,,,,,,,,,,,"2,668,293,746",,,,,,,,,,,,,,,"24,340,086",,,,,,,,,162,,,"28,575,412,817",162,,,,,"328,621,706","199,911,434","6,030,730,098","782,165,082",,"-69,910,842",,"2,550,345,324","3,332,510,406",,,"34,606,142,915",,,,,
[003800],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,158,742,609",,,,,"1,016,052,560","353,027,375",,,,,,,,,,,,,,,,,,,,,"31,940,393,470",,,,,,,,,,,,,,,,,,,,,,,,810,,,"25,518,629,888",810,,,,,"925,717,702","2,859,075,813","40,099,136,079","2,454,931,627",,,,"8,300,194,278","10,755,125,905",,,"65,617,765,967",,,,,
[036180],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,179,129",,,,,"1,927,169","17,394",,,,,,,,,,,,,,,,,,,,,"1,971,581,193",,,,,,,,,,,,,,,,,,,,,,,,7,,,"6,632,682,429",7,,,,,"52,376,907","103,573,973","2,054,760,322","14,991,457",,,,"121,294,513","136,285,970",,,"8,687,442,751",,,,,
[037950],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,513,705",,,,,"464,625,933","48,707,086",,,,,,,,,,,,,,,,,,,,,"1,381,893,027",,,,,,,,,,,,,,,"102,246,462",,,,,,,,,4,,,"4,644,557,331",4,,,,,,"59,107,626","1,454,406,732","68,535,301",,,,"376,758,415","445,293,716",,,"6,098,964,063",,,,,
[111770],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,606,789,764",,,,,"5,957,262,909","6,395,978,078",,,,,,,,,,,,,,,,,,,,,"16,785,358,519",,,,,,,,,,,,,,,,,,,,,,,,389,,,"221,618,099,461",,,,,,"1,021,407,208","1,201,342,081","39,392,148,283","5,290,470,635",,,,"17,057,538,833","22,348,009,468",,,"261,010,247,744",,,,,
[009970],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,615,791,328",,,,,,"194,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"517,688",,,,,,,,,"1,381",,,,,,,,,,"91,828,202",,"-318,702,483",,,,"16,025,609,780","15,706,907,297",,,,,,,,
[036000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,801,282",,,,,"22,201,477","26,950,674",,,,,,,,,,,,,,,,,,,,,"2,125,148,165",,,,,,,,,,,,,,,,,,,,,,,,11,,,"2,981,862,683",,,,,,"1,130,623","205,378,928","2,236,949,447","65,178,593",,,,"267,590,937","332,769,530",,,"5,218,812,130",,,,,
[039830],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,431,350,836",,,,,"171,369,201","135,785,627",,,,,,,,,,,,,,,,,,,,,"4,978,906,232",,,,,,,,,,,,,,,,,,,,,,,,140,,,"19,850,116,430",,,,,,"751,984,286","80,292,353","7,410,257,068","351,470,291",,,,"1,443,772,186","1,795,242,477",,,"27,260,373,498",,,,,
[010470],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"544,613,467",,,,,"21,680,508","950,014,152",,,,,,,,,,,,,,,,,,,,,"8,339,504,489",,,,,,,,,,,,,,,,,,,,,,,,-18,,,"16,045,137,266",-18,,,,,"43,453,039","153,196,622","8,884,117,956","-71,781,868",,,,"-202,194,726","-273,976,594",,,"24,929,255,222",,,,,
[048260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,349,559,480",,,,,"850,564,208","94,151,115",,,,,,,,,,,,,,,,,,,,,"26,804,253,572",,,,,,,,,,,,,,,"241,297,924",,,,,,,,,815,,,"45,087,195,720",,,,,,"2,507,328,466","4,862,764,903","39,395,110,976","2,619,523,165",,"-1,579,413,234",,"11,262,472,611","13,881,995,776",,,"84,482,306,696",,,,,
[037400],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237,950,915",,,,,"12,022,888","69,391,980",,,,,,,,,,,,,,,,,,,,,"1,737,372,731",,,,,,,,,,,,,,,,,,,,,,,,2,,,"4,834,463,959",,,,,,"137,833,359","5,469,118","1,975,323,646",0,,,,"48,217,582","48,217,582",,,"6,809,787,605",,,,,
[136540],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,046,051,425",,,,,"40,758,928","6,477,479",,,,,,,,,,,,,,,,,,,,,"5,070,819,123",,,,,,,,,,,,,,,,,,,,,,,,159,,,"7,630,984,714",164,,,,,"505,494,167","1,469,498,852","6,116,870,548","284,612,261",,,,"1,759,725,298","2,044,337,559",,,"13,747,855,262",,,,,
[011320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-301,740,382",,,,,"2,096,624,959","61,623,369",,,,,,,,,,,,,,,,,,,,,"4,861,800,700",,,,,,,,,,,,,,,,,,,,,,,,26,,,"43,202,166,363",,,,,,"493,442,072","306,113,960","4,560,060,318","1,050,964,700",,,,"494,968,396","1,545,933,096",,,"47,762,226,681",,,,,
[056090],,,,"17,607,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,562,504,335",,,,,"646,435,581",,,,,"8,304,033","398,208,303",,,,,,,,,,,,,,,,,,,,,"2,580,111,825",,,,,,,,,,,,,,,,,,,,,,,,10,10,0,"3,255,845,734",,,,,,"410,261,234","228,029,722","3,226,547,406",0,,,,"74,299,799","74,299,799",,,"6,482,393,140",,,,,
[084370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,819,081,505",,,,,"942,201,036","417,448,869",,,,,,,,,,,,,,,,,,,,,"9,081,562,790",,,,,,,,,,,,,,,,,,,,,,,,502,,,"19,920,511,481",502,,,,,,"492,648,490","22,900,644,295","3,594,018,692",,,,"11,242,463,470","14,836,482,162",,,"42,821,155,776",,,,,
[025820],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,682,369,482",,,,,"215,387,849","10,556,087",,,,,,,,,,,,,,,,,,,,,"1,114,072,848",,,,,,,,,,,,,,,,,,,,,,,,16,,,"51,364,299,499",,,,,,"1,298,715,834","115,536,145","2,796,442,330","161,021,092",,,,"543,000,463","704,021,555",,,"54,160,741,829",,,,,
[139480],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,817,657,651",,,,,"9,977,065,614","9,915,862,199",,,,,,,,,,,,,,,,,,,,,"816,532,155,135",,,,,,,,,,,,,,,,,,,,,,,,"3,752",,,"2,399,940,157,645","3,752",,,,,"55,410,772,489","79,130,610,583","923,349,812,786","22,689,119,387",,,,"107,909,579,773","130,598,699,160",,,"3,323,289,970,431",,,,,
[005950],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,579,912,929",,,,,"99,717,960","50,136,792",,,,,,,,,,,,,,,,,,,,,"9,704,402,621",,,,,,,,,,,,,,,,,,,,,,,,-194,,,"283,918,161,467",-194,,,,,"6,844,496,810","4,571,510,693","11,284,315,550","1,378,259,826",,"-801,670,002",,"-2,823,421,848","-1,445,162,022",,,"295,202,477,017",,,,,
[134060],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"216,875,709",,,,,"26,245,231","1,450,447",,,,,,,,,,,,,,,,,,,,,"1,412,078,266",,,,,,,,,,,,,,,"5,031,603",,,,,,,,,80,,,"779,725,661",80,,,,,"13,383,745","40,978,311","1,633,985,578",,,"90,346,108",,"359,611,167","359,611,167",,,"2,413,711,239",,,,,
[000760],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-709,444,634",,,,,"182,928,837","23,910,226",,,,,,,,,,,,,,,,,,,,,"2,237,657,660",,,,,,,,,,,,,,,,,,,,,,,,-293,,,"11,189,198,301",,,,,,"282,312,898","13,318,564","1,528,213,026",0,,,,"-819,420,357","-819,420,357",,,"12,717,411,327",,,,,
[129260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,402,205,368",,,,,"1,177,755,034","7,173,261,485",,,,,,,,,,,,,,,,,,,,,"4,431,675,188",,,,,,,,,,,,,,,"618,046,699",,,,,,,,,-199,,,"97,805,319,152",-199,,,,,"2,810,257,201","1,128,024,644","5,568,787,055","53,993,689",,,,"-5,603,493,252","-5,657,486,941",,,"103,374,106,207",,,,,
[023810],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,124,969,028",,,,,"655,891,273","246,213,080",,,,,,,,,,,,,,,,,,,,,"267,589,817",,,,,,,,,,,,,,,"3,735,066,019",,,,,,,,,212,,,"26,926,934,856",212,,,,,"91,671,782","4,293,368,419","1,877,686,808","365,987,009",,,,"2,120,418,793","2,486,405,802",,,"28,804,621,664",,,,,
[007570],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,210,465,040",,,,,"1,594,166,391","258,941,731",,,,,,,,,,,,,,,,,,,,,"13,602,376,519",,,,,,,,,,,,,,,"2,378,329,525",,,,,,,,,185,,,"28,826,705,233",185,,,,,"1,320,815,530","250,370,995","19,191,171,084","116,264,033",,,,"3,358,981,132","3,475,245,165",,,"48,017,876,317",,,,,
[159580],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,603,380,360",,,,,"254,290,525","68,250,732",,,,,,,,,,,,,,,,,,,,,"17,217,771,731",,,,,,,,,,,,,,,,,,,,0,,,,114,114,0,"26,227,905,548",114,114,0,,,"270,881,789","173,440,295","19,821,152,091","436,344,518",,,,"2,255,634,141","2,691,978,659",,,"46,049,057,639",,,,,
[054950],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,882,018,158",,,,,"305,252,865","347,011,875",,,,,,,,,,,,,,,,,,,,,"2,999,352,849",,,,,,,,,,,,,,,"1,531,343,408",,,,,,,,,348,,,"15,503,091,598",,,,,,"125,258,104","324,983,499","7,412,714,415","1,006,012,814",,,,"2,033,971,729","3,039,984,543",,,"22,915,806,013",,,,,
[000480],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,693,443,324",,,,,"865,591,435","33,790,276",,,,,,,,,,,,,,,,,,,,,"10,930,916,496",,,,,,,,,,,,,,,,,,,,,,,,"2,922",,,"106,133,919,327","2,922",,,,,"1,286,029,967","5,783,064,523","17,624,359,820","2,526,866,486",,,,"9,495,412,553","12,022,279,039",,,"123,758,279,147",,,,,
[034940],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"401,770,670",,,,,"311,936,292","65,538,685",,,,,,,,,,,,,,,,,,,,,"6,562,454,428",,,,,,,,,,,,,,,,,,,,,,,,13,,,"8,610,581,648",13,,,,,"310,214,093","28,545,313","6,964,225,098",,,,,"366,499,497","366,499,497",,,"15,574,806,746",,,,,
[185750],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,711,625,021",,,,,"1,025,504,336","1,043,077,645",,,,,,,,,,,,,,,,,,,,,"52,008,468,467",,,,,,,,,,,,,,,"872,868,944",,,,,,,,,984,,,"146,159,005,917",,,,,,"1,045,638,296","443,330,240","87,735,236,963","4,565,267,056",,,,"10,653,607,656","15,218,874,712",,,"233,894,242,880",,,,,
[001630],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,351,349,928",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,705,410,772",,,,,,,,,,,,,,,"460,000,000",,,,,,,,,"1,435",,,0,,,,,,"67,498,325","260,867,666","9,056,760,700","-100,095,540",,,,"7,190,825,902","7,090,730,362",,,"9,056,760,700",,,,,
[044380],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-489,672,015",,,,,"12,880,642","20,299,710",,,,,,,,,,,,,,,,,,,,,"1,228,597,676",,,,,,,,,,,,,,,"299,162,360",,,,,,,,,,,,"9,266,603,930",,,,,,"65,158,950","369,469,058","738,925,661","62,012,652",,,,"-553,955,987","-491,943,335",,,"10,005,529,591",,,,,
[043610],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,847,937,534","2,458,311,937",,,,,"350,275","38,326,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,44,,,,44,,,,,"91,705,661","520,166,783",,"401,675,351",,"114,733,031",,"2,561,854,145","2,963,529,496",,,"51,306,249,471",,,,,
[035000],"3,750,000",,"145,092,814",,"136,560,264","28,419,307",,,,,,,,,,,,,,"182,342,310",,,,"344,404,867",,"19,357,200",,,,,,,,,,,,,,,,,,,,,,,,"3,558,800","173,983,756",,,,"58,781",,,,,,"5,768",,,,,,,"614,622,754","6,975,654","208,682",,,"-501,226,358",,,,,"6,975,654","267,463",,,"220,471,452","34,461,000",,"20,205,000",,,,,,,,,,,"1,941,046,487",,"5,600,282","15,211,871","3,887,039,661","22,985,310","51,726,132","75,414,299","25,368,312",,,,,,,,,,,,,,,,,,,,10,,,"87,406,495",10,,,,,"3,564,568","173,983,756","3,385,813,303","-478,762,064",,,,"154,663,085","-324,098,979",,,"3,473,219,798",,,,,
[002780],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,818,783,132",,,,,"2,234,598,912","1,638,143,519",,,,,,,,,,,,,,,,,,,,,"7,041,595,044",,,,,,,,,,,,,,,,,,,,,,,,51,,,"135,000,629,583",51,,,,,"153,189,847","241,861,454","13,860,378,176",,,,,"7,503,910,132","7,503,910,132",,,"148,861,007,759",,,,,
[030200],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,037,839,000,000","296,445,000,000",,,,,"165,397,000,000","56,836,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,194",,,,"1,194",,,,,"114,110,000,000","106,287,000,000",,"104,548,000,000",,,,"292,635,000,000","397,183,000,000",,,"4,334,284,000,000",,,,,
